id,inode,dev,type,op,gp,tp,num_of_links,owner_id,group_id,size,time,name,parentID,abs_path
1,,0,/
2,2228311,112,d,7,5,5,2,0,0,4096,1580945626.429241,boot,1,/boot
3,3149009,112,d,7,5,5,1,0,0,4096,1581368668.8570807,var,1,/var
4,2228708,112,d,7,5,5,2,0,0,4096,1580945626.429241,mnt,1,/mnt
5,3146013,112,d,7,7,7,1,0,0,4096,1581368668.8560808,tmp,1,/tmp
6,2228228,112,d,7,5,5,2,0,0,4096,1580945626.429241,bin,1,/bin
7,1,117,d,5,5,5,13,0,0,0,1581484391.943424,sys,1,/sys
8,2228473,112,d,7,5,5,2,0,0,4096,1580945626.429241,home,1,/home
9,2228705,112,d,7,5,5,2,0,0,4096,1580945626.429241,lib64,1,/lib64
10,2228711,112,d,7,0,0,1,0,0,4096,1581461632.439504,root,1,/root
11,2228707,112,d,7,5,5,2,0,0,4096,1580945626.429241,media,1,/media
12,3145994,112,d,7,5,5,1,0,0,4096,1581368668.8560808,lib,1,/lib
13,30071,115,d,7,5,5,5,0,0,360,1581475192.290957,dev,1,/dev
14,1,114,d,5,5,5,172,0,0,0,1581475192.144957,proc,1,/proc
15,2359847,112,d,7,5,5,1,0,0,4096,1580945626.774241,run,1,/run
16,3146046,112,d,7,5,5,1,0,0,4096,1581368668.8560808,usr,1,/usr
17,2228709,112,d,7,5,5,2,0,0,4096,1580945626.429241,opt,1,/opt
18,3145836,112,d,7,5,5,1,0,0,4096,1581368734.1030247,etc,1,/etc
19,2359831,112,d,7,5,5,1,0,0,4096,1580945626.663241,sbin,1,/sbin
20,2228786,112,d,7,5,5,2,0,0,4096,1580945626.429241,srv,1,/srv
21,3145864,112,d,7,5,5,2,0,0,4096,1581522593.349913,csv,1,/csv
22,3145782,112,-,6,4,4,1,501,20,14232,1581539881.057358,__init__.py,1,/__init__.py
23,3145845,112,-,7,5,5,1,0,0,0,1581368734.1030247,.dockerenv,1,/.dockerenv
24,2359788,112,d,7,7,5,2,0,50,4096,1580945626.431241,local,3,/var/local
25,2359808,112,d,7,7,7,2,0,0,4096,1580945626.431241,tmp,3,/var/tmp
26,3149025,112,d,7,5,5,1,0,0,4096,1581368668.8570807,lib,3,/var/lib
27,3149010,112,d,7,5,5,1,0,0,4096,1581368668.8570807,cache,3,/var/cache
28,2359805,112,l,7,7,7,1,0,0,4,1580945626.429241,run,3,/var/run
29,2359804,112,d,7,5,5,2,0,0,4096,1580945626.431241,opt,3,/var/opt
30,2359315,112,d,7,5,5,2,0,0,4096,1580945626.431241,backups,3,/var/backups
31,2359789,112,l,7,7,7,1,0,0,9,1580945626.426241,lock,3,/var/lock
32,2359803,112,d,7,7,5,2,0,8,4096,1580945626.431241,mail,3,/var/mail
33,2359806,112,d,7,5,5,2,0,0,4096,1580945626.431241,spool,3,/var/spool
34,3149126,112,d,7,5,5,1,0,0,4096,1581368668.8570807,log,3,/var/log
35,3149029,112,d,7,5,5,1,0,0,4096,1581368668.8570807,dpkg,26,/var/lib/dpkg
36,2359770,112,d,7,5,5,2,0,0,4096,1580945626.431241,pam,26,/var/lib/pam
37,3149026,112,d,7,5,5,1,0,0,4096,1581368668.8570807,apt,26,/var/lib/apt
38,2359777,112,d,7,5,5,3,0,0,4096,1580945626.431241,systemd,26,/var/lib/systemd
39,2359769,112,d,7,5,5,2,0,0,4096,1580945626.431241,misc,26,/var/lib/misc
40,3149124,112,d,7,5,5,2,0,0,4096,1581368668.8570807,python,26,/var/lib/python
41,3149123,112,d,7,5,5,1,0,0,4096,1581368668.8570807,updates,35,/var/lib/dpkg/updates
42,3149032,112,d,7,5,5,1,0,0,4096,1581368668.8570807,info,35,/var/lib/dpkg/info
43,2359761,112,d,7,5,5,2,0,0,4096,1580945626.431241,parts,35,/var/lib/dpkg/parts
44,3149030,112,d,7,5,5,1,0,0,4096,1581368668.8570807,alternatives,35,/var/lib/dpkg/alternatives
45,3149120,112,d,7,5,5,1,0,0,4096,1581368668.8570807,triggers,35,/var/lib/dpkg/triggers
46,2359762,112,-,6,4,4,1,0,0,0,1580945626.424241,statoverride,35,/var/lib/dpkg/statoverride
47,2359341,112,-,6,4,4,1,0,0,8,1580945626.345241,cmethopt,35,/var/lib/dpkg/cmethopt
48,3149118,112,-,6,4,4,1,0,0,101918,1581368668.8500807,status,35,/var/lib/dpkg/status
49,2359340,112,-,6,4,4,1,0,0,82571,1580945626.345241,available,35,/var/lib/dpkg/available
50,3149116,112,-,6,4,0,1,0,0,0,1581368668.8500807,lock,35,/var/lib/dpkg/lock
51,2359839,112,-,6,4,4,1,0,0,136,1580945626.663241,diversions,35,/var/lib/dpkg/diversions
52,3149117,112,-,6,4,0,1,0,0,0,1581368668.8500807,lock-frontend,35,/var/lib/dpkg/lock-frontend
53,3149119,112,-,6,4,4,1,0,0,101855,1581368668.851081,status-old,35,/var/lib/dpkg/status-old
54,2359840,112,-,6,4,4,1,0,0,98,1580945626.663241,diversions-old,35,/var/lib/dpkg/diversions-old
55,2359669,112,-,6,4,4,1,0,0,74,1580945626.407241,libtasn1-6:amd64.triggers,42,/var/lib/dpkg/info/libtasn1-6:amd64.triggers
56,2359388,112,-,7,5,5,1,0,0,769,1580945626.353241,dash.config,42,/var/lib/dpkg/info/dash.config
