file_ext,cnt
,16527
.py,502
.triggers,55
.config,3
.list,109
.md5sums,114
.shlibs,53
.symbols,46
.postinst,35
.conffiles,22
.postrm,23
.prerm,21
.preinst,16
.templates,9
.wants,2
.dsh-also,4
.timer,12
.6_installed,1
.dat,3
.dat-old,2
.log,5
.xz,1
.distrib,1
.0,150
.scale,5
.unit,5
.procs,17
.clone_children,17
.sane_behavior,1
.current,4
.max,4
.events,1
.limit_in_bytes,6
.max_usage_in_bytes,6
.usage_in_bytes,6
.failcnt,6
.prioidx,1
.ifpriomap,1
.classid,1
.self_freezing,1
.parent_freezing,1
.state,1
.deny,1
.allow,1
.use_hierarchy,1
.soft_limit_in_bytes,1
.force_empty,1
.pressure_level,1
.move_charge_at_immigrate,1
.oom_control,1
.stat,3
.slabinfo,1
.swappiness,1
.event_control,1
.read_iops_device,1
.io_service_bytes,2
.time_recursive,1
.io_service_time,1
.time,1
.sectors,1
.write_iops_device,1
.io_service_time_recursive,1
.io_serviced_recursive,2
.io_serviced,2
.leaf_weight,1
.reset_stats,1
.io_queued,1
.read_bps_device,1
.write_bps_device,1
.io_merged,1
.weight_device,1
.weight,1
.io_wait_time,1
.io_wait_time_recursive,1
.leaf_weight_device,1
.sectors_recursive,1
.io_service_bytes_recursive,2
.io_queued_recursive,1
.io_merged_recursive,1
.usage_percpu_sys,1
.usage_percpu,1
.usage,1
.usage_sys,1
.usage_all,1
.usage_percpu_user,1
.usage_user,1
.cfs_period_us,1
.shares,1
.cfs_quota_us,1
.rt_runtime_us,1
.rt_period_us,1
.memory_pressure,1
.memory_migrate,1
.mem_exclusive,1
.memory_spread_slab,1
.cpu_exclusive,1
.effective_mems,1
.effective_cpus,1
.sched_load_balance,1
.mems,1
.mem_hardwall,1
.sched_relax_domain_level,1
.cpus,1
.memory_spread_page,1
.Linux,12
.build-id,12
.this_module,6
.text,9
.data,2
.1,48
.rodata,1
.unlikely,1
.read_mostly,1
.2,22
.d,30
.sh,4
.service,4
.xterm-256color,1
.4,6
.5,12
.so,375
.11,1
.3,10
.6,18
.9,11
.20,1
.7,4
.gz,106
.0],4
.textutils,1
.procps,1
.ul,1
.6m,1
.apt,1
.daily,2
.UTF-8,1
.conf,34
.10,2
.25,1
.30,1
.pm,175
.pl,471
.cache,2
.supp,1
.txt,3
.pyc,494
.css,1
.csh,1
.fish,1
.rst,1
.mgc,3
.bashrc,2
.dir,1
.profile,1
.master,2
.gpg,8
.6-stdlib,2
.6-minimal,4
.examples,1
.other,1
.html,2
.Debian,1
.png,1
.xpm,2
.cramfs,4
.bfs,2
.minix,4
.policy,1
.mk,1
.rtremove,1
.rtinstall,1
.desktop,1
.lock,1
.net,1
.blacklist,1
.defs,1
.types,1
.order,1
.mime,1
.cfg,1
.init,1
.ext2,2
.ext4,2
.ext3,2
.real,1
.csv,9
