fid,inode,dev,ftype,op,gp,tp,numoflinks,uid,size,ctime,mtime,name,abspath
1,3276842,112,d,7,5,5,1,0,4096,1587748580.562991,1587748580.562991,,/,/
2,2228311,112,d,7,5,5,2,0,4096,1580945626.429241,1524558862.0,boot,/boot
3,3149009,112,d,7,5,5,1,0,4096,1581368668.8570807,1578863453.0,var,/var
4,2228708,112,d,7,5,5,2,0,4096,1580945626.429241,1578863392.0,mnt,/mnt
5,3146013,112,d,7,7,7,1,0,4096,1581368668.8560808,1581368666.0,tmp,/tmp
6,2228228,112,d,7,5,5,2,0,4096,1580945626.429241,1578863454.0,bin,/bin
7,1,117,d,5,5,5,13,0,0,1587739667.912507,1587739667.912507,sys,/sys
8,2228473,112,d,7,5,5,2,0,4096,1580945626.429241,1524558862.0,home,/home
9,2228705,112,d,7,5,5,2,0,4096,1580945626.429241,1578863404.0,lib64,/lib64
10,3145900,112,d,7,0,0,1,0,4096,1585543606.044563,1581461632.0,root,/root
11,2228707,112,d,7,5,5,2,0,4096,1580945626.429241,1578863392.0,media,/media
12,3145994,112,d,7,5,5,1,0,4096,1581368668.8560808,1495539149.0,lib,/lib
13,1818403,115,d,7,5,5,5,0,360,1587739668.490507,1587739668.490507,dev,/dev
14,1,114,d,5,5,5,173,0,0,1587739667.866507,1587739667.866507,proc,/proc
15,2359847,112,d,7,5,5,1,0,4096,1580945626.774241,1579137633.0,run,/run
16,3146046,112,d,7,5,5,1,0,4096,1581368668.8560808,1578863392.0,usr,/usr
17,2228709,112,d,7,5,5,2,0,4096,1580945626.429241,1578863392.0,opt,/opt
18,3276831,112,d,7,5,5,1,0,4096,1585543605.537563,1585543605.537563,etc,/etc
19,2359831,112,d,7,5,5,1,0,4096,1580945626.663241,1579137633.0,sbin,/sbin
20,2228786,112,d,7,5,5,2,0,4096,1580945626.429241,1578863392.0,srv,/srv
21,3276855,112,d,7,5,5,2,0,4096,1585543606.569565,1585543606.569565,err,/err
22,3276864,112,d,7,5,5,2,0,4096,1585543607.988565,1585543607.988565,helpercsv,/helpercsv
23,3276847,112,-,6,4,4,1,0,11576,1587748580.566991,1587748578.0,extract_unix_prop.py,/extract_unix_prop.py
24,3145889,112,-,6,4,4,1,0,14194,1585699911.641056,1581522553.0,__init__.py,/__init__.py
25,3276836,112,-,7,5,5,1,0,0,1585543605.537563,1585543605.537563,.dockerenv,/.dockerenv
26,2359788,112,d,7,7,5,2,0,4096,1580945626.431241,1524558862.0,local,/var/local
27,2359808,112,d,7,7,7,2,0,4096,1580945626.431241,1578863453.0,tmp,/var/tmp
28,3149025,112,d,7,5,5,1,0,4096,1581368668.8570807,1581368664.0,lib,/var/lib
29,3149010,112,d,7,5,5,1,0,4096,1581368668.8570807,1578863454.0,cache,/var/cache
30,2359805,112,l,7,7,7,1,0,4,1580945626.429241,1578863392.0,run,/var/run
31,2359804,112,d,7,5,5,2,0,4096,1580945626.431241,1578863392.0,opt,/var/opt
32,2359315,112,d,7,5,5,2,0,4096,1580945626.431241,1524558862.0,backups,/var/backups
33,2359789,112,l,7,7,7,1,0,9,1580945626.426241,1578863392.0,lock,/var/lock
34,2359803,112,d,7,7,5,2,0,4096,1580945626.431241,1578863392.0,mail,/var/mail
35,2359806,112,d,7,5,5,2,0,4096,1580945626.431241,1578863392.0,spool,/var/spool
36,3149126,112,d,7,5,5,1,0,4096,1581368668.8570807,1578863400.0,log,/var/log
37,3149029,112,d,7,5,5,1,0,4096,1581368668.8570807,1581368667.0,dpkg,/var/lib/dpkg
38,2359770,112,d,7,5,5,2,0,4096,1580945626.431241,1578863451.0,pam,/var/lib/pam
39,3149026,112,d,7,5,5,1,0,4096,1581368668.8570807,1581368663.0,apt,/var/lib/apt
40,2359777,112,d,7,5,5,3,0,4096,1580945626.431241,1578863392.0,systemd,/var/lib/systemd
41,2359769,112,d,7,5,5,2,0,4096,1580945626.431241,1524558862.0,misc,/var/lib/misc
42,3149124,112,d,7,5,5,2,0,4096,1581368668.8570807,1581368664.0,python,/var/lib/python
43,3149123,112,d,7,5,5,1,0,4096,1581368668.8570807,1581368667.0,updates,/var/lib/dpkg/updates
44,3149032,112,d,7,5,5,1,0,4096,1581368668.8570807,1581368666.0,info,/var/lib/dpkg/info
45,2359761,112,d,7,5,5,2,0,4096,1580945626.431241,1523845521.0,parts,/var/lib/dpkg/parts
46,3149030,112,d,7,5,5,1,0,4096,1581368668.8570807,1581368666.0,alternatives,/var/lib/dpkg/alternatives
47,3149120,112,d,7,5,5,1,0,4096,1581368668.8570807,1581368665.0,triggers,/var/lib/dpkg/triggers
48,2359762,112,-,6,4,4,1,0,0,1580945626.424241,1578863392.0,statoverride,/var/lib/dpkg/statoverride
49,2359341,112,-,6,4,4,1,0,8,1580945626.345241,1578863397.0,cmethopt,/var/lib/dpkg/cmethopt
50,3149118,112,-,6,4,4,1,0,101918,1581368668.8500807,1581368667.0,status,/var/lib/dpkg/status
51,2359340,112,-,6,4,4,1,0,82571,1580945626.345241,1578863398.0,available,/var/lib/dpkg/available
52,3149116,112,-,6,4,0,1,0,0,1581368668.8500807,1581368666.0,lock,/var/lib/dpkg/lock
53,2359839,112,-,6,4,4,1,0,136,1580945626.663241,1579137633.0,diversions,/var/lib/dpkg/diversions
54,3149117,112,-,6,4,0,1,0,0,1581368668.8500807,1578863452.0,lock-frontend,/var/lib/dpkg/lock-frontend
55,3149119,112,-,6,4,4,1,0,101855,1581368668.851081,1581368666.0,status-old,/var/lib/dpkg/status-old
56,2359840,112,-,6,4,4,1,0,98,1580945626.663241,1578863454.0,diversions-old,/var/lib/dpkg/diversions-old
57,2359669,112,-,6,4,4,1,0,74,1580945626.407241,1516539664.0,libtasn1-6:amd64.triggers,/var/lib/dpkg/info/libtasn1-6:amd64.triggers
58,2359388,112,-,7,5,5,1,0,769,1580945626.353241,1516864473.0,dash.config,/var/lib/dpkg/info/dash.config
59,2359482,112,-,6,4,4,1,0,74,1580945626.372241,1523909660.0,libc6:amd64.triggers,/var/lib/dpkg/info/libc6:amd64.triggers
60,2359430,112,-,6,4,4,1,0,529,1580945626.360241,1578863448.0,grep.list,/var/lib/dpkg/info/grep.list
61,2359631,112,-,6,4,4,1,0,285,1580945626.396241,1578863436.0,libsemanage-common.list,/var/lib/dpkg/info/libsemanage-common.list
62,2359696,112,-,6,4,4,1,0,5098,1580945626.411241,1578863448.0,login.list,/var/lib/dpkg/info/login.list
63,2359710,112,-,6,4,4,1,0,1004,1580945626.412241,1578863451.0,mount.list,/var/lib/dpkg/info/mount.list
64,2359573,112,-,6,4,4,1,0,300,1580945626.384241,1527062907.0,libncursesw5:amd64.md5sums,/var/lib/dpkg/info/libncursesw5:amd64.md5sums
65,2359440,112,-,6,4,4,1,0,31,1580945626.360241,1492807494.0,libacl1:amd64.shlibs,/var/lib/dpkg/info/libacl1:amd64.shlibs
66,2359684,112,-,6,4,4,1,0,74,1580945626.409241,1553160601.0,libunistring2:amd64.triggers,/var/lib/dpkg/info/libunistring2:amd64.triggers
67,2359380,112,-,6,4,4,1,0,814,1580945626.352241,1578863447.0,bsdutils.list,/var/lib/dpkg/info/bsdutils.list
68,2359658,112,-,6,4,4,1,0,371157,1580945626.406241,1557330677.0,libstdc++6:amd64.symbols,/var/lib/dpkg/info/libstdc++6:amd64.symbols
69,2359465,112,-,6,4,4,1,0,219,1580945626.369241,1562243736.0,libbz2-1.0:amd64.md5sums,/var/lib/dpkg/info/libbz2-1.0:amd64.md5sums
70,2359746,112,-,7,5,5,1,0,642,1580945626.422241,1537283026.0,ubuntu-keyring.postinst,/var/lib/dpkg/info/ubuntu-keyring.postinst
71,2359708,112,-,7,5,5,1,0,299,1580945626.411241,1522758858.0,mawk.postinst,/var/lib/dpkg/info/mawk.postinst
72,2359726,112,-,6,4,4,1,0,343,1580945626.419241,1565365047.0,procps.conffiles,/var/lib/dpkg/info/procps.conffiles
73,2359647,112,-,6,4,4,1,0,74,1580945626.402241,1566517666.0,libsmartcols1:amd64.triggers,/var/lib/dpkg/info/libsmartcols1:amd64.triggers
74,2359491,112,-,6,4,4,1,0,74,1580945626.373241,1569520918.0,libcom-err2:amd64.triggers,/var/lib/dpkg/info/libcom-err2:amd64.triggers
75,2359691,112,-,6,4,4,1,0,220,1580945626.410241,1566325157.0,libzstd1:amd64.md5sums,/var/lib/dpkg/info/libzstd1:amd64.md5sums
76,2359349,112,-,7,5,5,1,0,312,1580945626.346241,1512493040.0,adduser.postrm,/var/lib/dpkg/info/adduser.postrm
77,2359457,112,-,6,4,4,1,0,2918,1580945626.368241,1518047992.0,libaudit1:amd64.symbols,/var/lib/dpkg/info/libaudit1:amd64.symbols
78,2359578,112,-,6,4,4,1,0,357,1580945626.384241,1513103238.0,libnettle6:amd64.md5sums,/var/lib/dpkg/info/libnettle6:amd64.md5sums
79,2359461,112,-,6,4,4,1,0,73,1580945626.368241,1518646823.0,libblkid1:amd64.shlibs,/var/lib/dpkg/info/libblkid1:amd64.shlibs
80,2359352,112,-,6,4,4,1,0,10605,1580945626.347241,1578863450.0,apt.list,/var/lib/dpkg/info/apt.list
81,2359735,112,-,6,4,4,1,0,1309,1580945626.420241,1578863443.0,sensible-utils.list,/var/lib/dpkg/info/sensible-utils.list
82,2359614,112,-,6,4,4,1,0,1125,1580945626.389241,1517682470.0,libpcre3:amd64.symbols,/var/lib/dpkg/info/libpcre3:amd64.symbols
83,2359448,112,-,6,4,4,1,0,216,1580945626.366241,1492807550.0,libattr1:amd64.md5sums,/var/lib/dpkg/info/libattr1:amd64.md5sums
84,2359630,112,-,6,4,4,1,0,27,1580945626.396241,1519896915.0,libsemanage-common.conffiles,/var/lib/dpkg/info/libsemanage-common.conffiles
85,2359723,112,-,7,5,5,1,0,196,1580945626.419241,1553281538.0,passwd.prerm,/var/lib/dpkg/info/passwd.prerm
86,2359600,112,-,7,5,5,1,0,531,1580945626.387241,1551277610.0,libpam-runtime.postrm,/var/lib/dpkg/info/libpam-runtime.postrm
